index,disease_name,description,Possible Steps,image_url
0,Cotton - Diseased Cotton Leaf,"Cotton leaf diseases can significantly reduce yield and fiber quality. Diseased cotton leaves show symptoms like yellowing, spots, or lesions caused by fungal or bacterial infections. Early detection and treatment are crucial for maintaining healthy crops.","Remove and destroy infected leaves to prevent spread.
Apply appropriate fungicides or bactericides as recommended by agricultural experts.
Ensure proper field drainage and avoid waterlogging.
Maintain adequate plant spacing for air circulation.
Use disease-resistant cotton varieties when available.
Monitor fields regularly for early signs of disease.",https://via.placeholder.com/400x300.png?text=Cotton+Diseased+Leaf
1,Cotton - Diseased Cotton Plant,"Diseased cotton plants exhibit systemic symptoms including wilting, stunted growth, yellowing of leaves, and reduced boll formation. These symptoms can be caused by various pathogens including fungi, bacteria, or viruses affecting the entire plant system.","Remove severely infected plants to prevent pathogen spread.
Apply appropriate pesticides and fungicides as per expert recommendations.
Improve soil health with organic matter and proper fertilization.
Ensure proper irrigation management to avoid water stress.
Implement crop rotation with non-host crops.
Use certified disease-free seeds.",https://via.placeholder.com/400x300.png?text=Cotton+Diseased+Plant
2,Cotton - Fresh Cotton Leaf,"Fresh, healthy cotton leaves are deep green in color with smooth texture and no visible spots or lesions. Healthy leaves indicate proper nutrition, adequate water supply, and absence of pest or disease pressure. These leaves contribute to optimal photosynthesis and plant growth.","Maintain regular irrigation schedule to keep leaves turgid.
Apply balanced fertilizers (NPK) according to soil test recommendations.
Ensure adequate sunlight exposure for photosynthesis.
Protect from extreme weather conditions.
Monitor for early pest and disease symptoms.
Maintain proper field sanitation.",https://via.placeholder.com/400x300.png?text=Cotton+Fresh+Leaf
3,Cotton - Fresh Cotton Plant,"Healthy cotton plants display vigorous growth, deep green foliage, strong stems, and abundant boll formation. Fresh cotton plants indicate optimal growing conditions including proper nutrition, water management, and absence of significant pest or disease pressure.","Provide adequate water through drip or furrow irrigation.
Apply balanced fertilizers based on soil testing and crop stage.
Implement integrated pest management (IPM) practices.
Ensure proper plant spacing (typically 60-90 cm between rows).
Maintain weed-free fields to reduce competition.
Regular monitoring for pests and diseases.
Harvest at proper maturity to maintain fiber quality.",https://via.placeholder.com/400x300.png?text=Cotton+Fresh+Plant
4,Mango - Anthracnose,"Anthracnose is a fungal disease caused by Colletotrichum gloeosporioides. It affects mango leaves, flowers, fruits, and twigs, causing dark sunken lesions. The disease is most severe during warm, humid weather and can cause significant post-harvest losses.","Apply copper-based fungicides during pre-flowering and fruit development stages.
Remove and destroy infected plant parts.
Ensure proper orchard sanitation by removing fallen leaves and fruits.
Prune trees to improve air circulation and sunlight penetration.
Avoid overhead irrigation to reduce leaf wetness.
Apply post-harvest treatments to reduce fruit rot.
Harvest fruits at proper maturity.",https://via.placeholder.com/400x300.png?text=Mango+Anthracnose
5,Mango - Bacterial Canker,"Bacterial canker, caused by Xanthomonas species, produces water-soaked lesions on leaves, twigs, and fruits. The disease causes dieback of branches, fruit spotting, and can severely reduce yield. It spreads rapidly during rainy seasons.","Apply copper-based bactericides during critical growth stages.
Remove and burn infected branches and twigs.
Avoid mechanical injuries to trees during cultural operations.
Disinfect pruning tools between trees.
Improve orchard drainage to reduce humidity.
Apply windbreaks to reduce mechanical wounds.
Use disease-free planting material.",https://via.placeholder.com/400x300.png?text=Mango+Bacterial+Canker
6,Mango - Cutting Weevil,"Mango cutting weevil (Deporaus marginatus) is a serious pest that damages tender shoots, causing shoot wilting and dieback. Adult weevils cut tender shoots partially and lay eggs, leading to withering of shoot tips. This affects new growth and reduces flowering.","Monitor orchards regularly for weevil activity, especially during new flush.
Collect and destroy cut twigs with eggs or larvae.
Apply recommended insecticides during peak weevil activity.
Prune and destroy severely infested shoots.
Maintain orchard sanitation by removing plant debris.
Use pheromone traps if available.
Encourage natural enemies like birds.",https://via.placeholder.com/400x300.png?text=Mango+Cutting+Weevil
7,Mango - Die Back,"Mango dieback is caused by fungal pathogens (Lasiodiplodia species) that cause progressive death of twigs, branches, and eventually entire trees. Symptoms include browning of leaves, twig dieback, and gum exudation. The disease is more severe in stressed trees.","Prune diseased branches 15-20 cm below visible symptoms and apply wound paste.
Destroy pruned material by burning.
Apply systemic fungicides during monsoon season.
Ensure proper nutrition and water management to reduce tree stress.
Avoid injuries to bark and branches.
Improve soil drainage if waterlogging is present.
Apply organic mulch to maintain soil moisture.",https://via.placeholder.com/400x300.png?text=Mango+Die+Back
8,Mango - Gall Midge,"Mango gall midge (Procontarinia species) is a tiny fly whose larvae cause abnormal growth (galls) on tender leaves, inflorescence, and fruits. Infested tissues become malformed, reducing flowering and fruit set. The pest is most active during new flush periods.","Remove and destroy infested plant parts including galls.
Apply recommended insecticides during new flush emergence.
Plow the orchard soil to expose pupae to predators and sunlight.
Spray neem-based biopesticides as preventive measure.
Maintain proper orchard sanitation.
Time pruning to avoid peak gall midge activity periods.
Encourage natural parasitoids.",https://via.placeholder.com/400x300.png?text=Mango+Gall+Midge
9,Mango - Healthy,"Healthy mango trees have dark green, glossy leaves with no spots or discoloration. Trees display vigorous growth, abundant flowering, and good fruit set. Healthy trees are well-nourished, properly watered, and free from significant pest and disease pressure.","Maintain regular irrigation schedule, especially during fruit development.
Apply balanced fertilizers (NPK) based on soil tests and tree age.
Implement integrated pest and disease management practices.
Prune annually to maintain canopy shape and light penetration.
Mulch around trees to conserve moisture and suppress weeds.
Monitor regularly for early detection of pests and diseases.
Protect from extreme weather conditions.",https://via.placeholder.com/400x300.png?text=Mango+Healthy
10,Mango - Powdery Mildew,"Powdery mildew, caused by Oidium mangiferae, appears as white powdery growth on leaves, flowers, and young fruits. It is most severe during flowering, causing flower drop and reduced fruit set. The disease thrives in warm, dry conditions with cool nights.","Apply sulfur-based fungicides at flower bud emergence and repeat at 10-15 day intervals.
Remove and destroy heavily infected plant parts.
Ensure adequate spacing between trees for air circulation.
Avoid excessive nitrogen fertilization which promotes susceptible tender growth.
Apply recommended fungicides before and during flowering.
Monitor weather conditions and spray preventively during favorable disease conditions.",https://via.placeholder.com/400x300.png?text=Mango+Powdery+Mildew
11,Mango - Sooty Mould,"Sooty mould is a black fungal growth that develops on honeydew secreted by sap-sucking insects like mealybugs, scales, and aphids. While not directly parasitic, it reduces photosynthesis by coating leaves and fruits. It indicates the presence of sap-sucking pests.","Control sap-sucking insects (mealybugs, scales, aphids) using appropriate insecticides.
Spray neem oil or insecticidal soap to control pests and remove mould.
Wash off sooty mould with water spray or mild soap solution.
Improve air circulation through proper pruning.
Encourage natural predators of sap-sucking insects.
Monitor trees regularly for pest infestations.
Apply systemic insecticides if pest pressure is high.",https://via.placeholder.com/400x300.png?text=Mango+Sooty+Mould
12,Pepper (Bell) - Bacterial Spot,"Bacterial spot is caused by Xanthomonas species and affects pepper leaves, stems, and fruits. Symptoms include small water-soaked spots on leaves that turn brown, leaf yellowing, defoliation, and fruit lesions. The disease spreads rapidly during warm, wet weather.","Use disease-free certified seeds and transplants.
Apply copper-based bactericides preventively, especially during wet weather.
Avoid overhead irrigation to reduce leaf wetness.
Remove and destroy infected plants to prevent spread.
Rotate crops with non-solanaceous plants for at least 2-3 years.
Disinfect tools and equipment between uses.
Maintain proper plant spacing for air circulation.",https://via.placeholder.com/400x300.png?text=Pepper+Bacterial+Spot
13,Pepper (Bell) - Healthy,"Healthy pepper plants have dark green leaves, strong stems, and abundant fruit production. Plants display vigorous growth with no signs of disease, pest damage, or nutrient deficiency. Healthy peppers indicate optimal growing conditions and proper management.","Maintain consistent soil moisture through drip irrigation.
Apply balanced fertilizers with emphasis on calcium to prevent blossom end rot.
Ensure full sun exposure (6-8 hours daily).
Maintain proper spacing (45-60 cm between plants).
Mulch to conserve moisture and suppress weeds.
Monitor regularly for pests and diseases.
Harvest fruits at appropriate maturity.
Maintain soil pH between 6.0-6.8.",https://via.placeholder.com/400x300.png?text=Pepper+Healthy
