index,supplement name,supplement image,buy link
0,Fungicide for Cotton Leaf Disease,https://via.placeholder.com/150x150.png?text=Fungicide,https://www.example.com/fungicide-cotton
1,Systemic Fungicide for Cotton Plant,https://via.placeholder.com/150x150.png?text=Systemic+Fungicide,https://www.example.com/systemic-fungicide
2,Balanced NPK Fertilizer,https://via.placeholder.com/150x150.png?text=NPK+Fertilizer,https://www.example.com/npk-fertilizer
3,Organic Compost for Cotton,https://via.placeholder.com/150x150.png?text=Organic+Compost,https://www.example.com/organic-compost
4,Copper Fungicide for Mango Anthracnose,https://via.placeholder.com/150x150.png?text=Copper+Fungicide,https://www.example.com/copper-fungicide
5,Copper Bactericide for Mango,https://via.placeholder.com/150x150.png?text=Bactericide,https://www.example.com/bactericide-mango
6,Insecticide for Mango Weevil,https://via.placeholder.com/150x150.png?text=Insecticide,https://www.example.com/insecticide-weevil
7,Systemic Fungicide for Mango Dieback,https://via.placeholder.com/150x150.png?text=Systemic+Fungicide,https://www.example.com/fungicide-dieback
8,Insecticide for Mango Gall Midge,https://via.placeholder.com/150x150.png?text=Midge+Control,https://www.example.com/gall-midge-control
9,Balanced Fertilizer for Healthy Mango,https://via.placeholder.com/150x150.png?text=Mango+Fertilizer,https://www.example.com/mango-fertilizer
10,Sulfur Fungicide for Powdery Mildew,https://via.placeholder.com/150x150.png?text=Sulfur+Fungicide,https://www.example.com/sulfur-fungicide
11,Neem Oil for Sooty Mould,https://via.placeholder.com/150x150.png?text=Neem+Oil,https://www.example.com/neem-oil
12,Copper Bactericide for Pepper,https://via.placeholder.com/150x150.png?text=Copper+Spray,https://www.example.com/copper-spray-pepper
13,Balanced Fertilizer for Pepper,https://via.placeholder.com/150x150.png?text=Pepper+Fertilizer,https://www.example.com/pepper-fertilizer
14,Mancozeb Fungicide for Early Blight,https://via.placeholder.com/150x150.png?text=Mancozeb,https://www.example.com/mancozeb-potato
15,Systemic Fungicide for Late Blight,https://via.placeholder.com/150x150.png?text=Late+Blight+Control,https://www.example.com/late-blight-fungicide
16,Balanced NPK for Potato,https://via.placeholder.com/150x150.png?text=Potato+NPK,https://www.example.com/potato-fertilizer
17,Copper Bactericide for Tomato,https://via.placeholder.com/150x150.png?text=Copper+Bactericide,https://www.example.com/copper-tomato
18,Chlorothalonil for Tomato Early Blight,https://via.placeholder.com/150x150.png?text=Chlorothalonil,https://www.example.com/chlorothalonil-tomato
19,Fungicide for Tomato Late Blight,https://via.placeholder.com/150x150.png?text=Late+Blight+Spray,https://www.example.com/tomato-late-blight
20,Fungicide for Tomato Leaf Mold,https://via.placeholder.com/150x150.png?text=Leaf+Mold+Control,https://www.example.com/leaf-mold-fungicide
21,Mancozeb for Septoria Leaf Spot,https://via.placeholder.com/150x150.png?text=Mancozeb+Spray,https://www.example.com/mancozeb-tomato
22,Miticide for Spider Mites,https://via.placeholder.com/150x150.png?text=Miticide,https://www.example.com/miticide-tomato
23,Fungicide for Target Spot,https://via.placeholder.com/150x150.png?text=Target+Spot+Control,https://www.example.com/target-spot-fungicide
24,Insecticide for Whitefly (TYLCV Vector),https://via.placeholder.com/150x150.png?text=Whitefly+Control,https://www.example.com/whitefly-insecticide
25,Virus-Free Tomato Seeds,https://via.placeholder.com/150x150.png?text=Certified+Seeds,https://www.example.com/virus-free-seeds
26,Balanced Fertilizer for Healthy Tomato,https://via.placeholder.com/150x150.png?text=Tomato+Fertilizer,https://www.example.com/tomato-fertilizer
27,Fungicide for Rice Brown Spot,https://via.placeholder.com/150x150.png?text=Rice+Fungicide,https://www.example.com/rice-brown-spot-fungicide
28,Balanced Fertilizer for Rice,https://via.placeholder.com/150x150.png?text=Rice+NPK,https://www.example.com/rice-fertilizer
29,Insecticide for Rice Hispa,https://via.placeholder.com/150x150.png?text=Hispa+Control,https://www.example.com/rice-hispa-insecticide
30,Tricyclazole for Rice Blast,https://via.placeholder.com/150x150.png?text=Tricyclazole,https://www.example.com/tricyclazole-rice
31,Balanced NPK for Wheat,https://via.placeholder.com/150x150.png?text=Wheat+Fertilizer,https://www.example.com/wheat-fertilizer
32,Fungicide for Wheat Septoria,https://via.placeholder.com/150x150.png?text=Septoria+Control,https://www.example.com/wheat-septoria-fungicide
33,Fungicide for Wheat Stripe Rust,https://via.placeholder.com/150x150.png?text=Rust+Control,https://www.example.com/wheat-rust-fungicide
